"filename", "language", "JSON", "JavaScript", "CSS", "JavaScript JSX", "comment", "blank", "total"
"d:\program\kisan-netra\client\package-lock.json", "JSON", 10, 0, 0, 0, 0, 0, 10
"d:\program\kisan-netra\client\package.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"d:\program\kisan-netra\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 50, 1, -2, 49
"d:\program\kisan-netra\client\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 94, 4, 12, 110
"d:\program\kisan-netra\client\src\components\StockManager.jsx", "JavaScript JSX", 0, 0, 0, 294, 7, 24, 325
"d:\program\kisan-netra\client\src\context\AuthContent.jsx", "JavaScript JSX", 0, 0, 0, 2, 2, -1, 3
"d:\program\kisan-netra\client\src\index.css", "CSS", 0, 0, -68, 0, 0, -8, -76
"d:\program\kisan-netra\client\src\pages\AdminPanel.jsx", "JavaScript JSX", 0, 0, 0, 160, 4, 14, 178
"d:\program\kisan-netra\client\src\pages\DealerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 77, -4, 4, 77
"d:\program\kisan-netra\client\src\pages\FarmerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 381, 14, 36, 431
"d:\program\kisan-netra\client\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 76, 1, 7, 84
"d:\program\kisan-netra\client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 153, 6, 13, 172
"d:\program\kisan-netra\client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 56, 1, 6, 63
"d:\program\kisan-netra\client\src\pages\ProductCatalog.jsx", "JavaScript JSX", 0, 0, 0, 169, 5, 22, 196
"d:\program\kisan-netra\client\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 83, 3, 9, 95
"d:\program\kisan-netra\client\src\pages\SearchDealers.jsx", "JavaScript JSX", 0, 0, 0, 221, 5, 22, 248
"d:\program\kisan-netra\server\package.json", "JSON", 6, 0, 0, 0, 0, -1, 5
"d:\program\kisan-netra\server\seed\seed.js", "JavaScript", 0, 86, 0, 0, 8, 7, 101
"d:\program\kisan-netra\server\src\app.js", "JavaScript", 0, 6, 0, 0, 0, 0, 6
"d:\program\kisan-netra\server\src\controllers\admin-controller.js", "JavaScript", 0, 18, 0, 0, 2, 3, 23
"d:\program\kisan-netra\server\src\controllers\auth-controller.js", "JavaScript", 0, -17, 0, 0, 5, 3, -9
"d:\program\kisan-netra\server\src\controllers\dealer-controller.js", "JavaScript", 0, 25, 0, 0, 8, 13, 46
"d:\program\kisan-netra\server\src\controllers\dealerStock-controller.js", "JavaScript", 0, 120, 0, 0, 8, 10, 138
"d:\program\kisan-netra\server\src\controllers\inventory-controller.js", "JavaScript", 0, 148, 0, 0, 6, 15, 169
"d:\program\kisan-netra\server\src\models\DealerStock.js", "JavaScript", 0, 30, 0, 0, 1, 5, 36
"d:\program\kisan-netra\server\src\models\FarmerInventory.js", "JavaScript", 0, 32, 0, 0, 0, 2, 34
"d:\program\kisan-netra\server\src\models\Product.js", "JavaScript", 0, -2, 0, 0, 0, 1, -1
"d:\program\kisan-netra\server\src\routes\admin-routes.js", "JavaScript", 0, 8, 0, 0, 0, 5, 13
"d:\program\kisan-netra\server\src\routes\auth-routes.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"d:\program\kisan-netra\server\src\routes\dealer-routes.js", "JavaScript", 0, 9, 0, 0, 2, 7, 18
"d:\program\kisan-netra\server\src\routes\inventory-routes.js", "JavaScript", 0, 19, 0, 0, 0, 5, 24
"d:\program\kisan-netra\server\src\routes\product-routes.js", "JavaScript", 0, 0, 0, 0, 0, -1, -1
"d:\program\kisan-netra\server\tests\auth.test.js", "JavaScript", 0, 85, 0, 0, 3, 22, 110
"d:\program\kisan-netra\server\tests\geo.test.js", "JavaScript", 0, 112, 0, 0, 1, 24, 137
"Total", "-", 17, 680, -68, 1816, 93, 278, 2816
