"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"d:\program\kisan-netra\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 2, 3
"d:\program\kisan-netra\client\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 8, 17
"d:\program\kisan-netra\client\eslint.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\program\kisan-netra\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\program\kisan-netra\client\package-lock.json", "JSON", 3732, 0, 0, 0, 0, 0, 0, 0, 1, 3733
"d:\program\kisan-netra\client\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\program\kisan-netra\client\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\program\kisan-netra\client\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\program\kisan-netra\client\public\icons.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"d:\program\kisan-netra\client\src\App.css", "CSS", 0, 0, 0, 158, 0, 0, 0, 0, 27, 185
"d:\program\kisan-netra\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 1, 4, 88
"d:\program\kisan-netra\client\src\api\axios.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\program\kisan-netra\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\program\kisan-netra\client\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\program\kisan-netra\client\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 125, 0, 0, 4, 14, 143
"d:\program\kisan-netra\client\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 1, 5, 17
"d:\program\kisan-netra\client\src\components\StockManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 294, 0, 0, 7, 24, 325
"d:\program\kisan-netra\client\src\context\AuthContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 5, 8, 56
"d:\program\kisan-netra\client\src\index.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"d:\program\kisan-netra\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\program\kisan-netra\client\src\pages\AdminPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 160, 0, 0, 4, 14, 178
"d:\program\kisan-netra\client\src\pages\DealerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 258, 0, 0, 4, 25, 287
"d:\program\kisan-netra\client\src\pages\FarmerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 381, 0, 0, 14, 36, 431
"d:\program\kisan-netra\client\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 174, 0, 0, 1, 13, 188
"d:\program\kisan-netra\client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 163, 0, 0, 6, 13, 182
"d:\program\kisan-netra\client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 0, 1, 12, 136
"d:\program\kisan-netra\client\src\pages\ProductCatalog.jsx", "JavaScript JSX", 0, 0, 0, 0, 169, 0, 0, 5, 22, 196
"d:\program\kisan-netra\client\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 161, 0, 0, 3, 14, 178
"d:\program\kisan-netra\client\src\pages\SearchDealers.jsx", "JavaScript JSX", 0, 0, 0, 0, 221, 0, 0, 5, 22, 248
"d:\program\kisan-netra\client\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\program\kisan-netra\client\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"d:\program\kisan-netra\server\package-lock.json", "JSON", 6343, 0, 0, 0, 0, 0, 0, 0, 1, 6344
"d:\program\kisan-netra\server\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 42
"d:\program\kisan-netra\server\seed\seed.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 8, 7, 101
"d:\program\kisan-netra\server\server.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"d:\program\kisan-netra\server\src\app.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 6, 11, 53
"d:\program\kisan-netra\server\src\config\db.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\program\kisan-netra\server\src\controllers\admin-controller.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 3, 23
"d:\program\kisan-netra\server\src\controllers\auth-controller.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 12, 30, 172
"d:\program\kisan-netra\server\src\controllers\dealer-controller.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 15, 24, 184
"d:\program\kisan-netra\server\src\controllers\dealerStock-controller.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 8, 10, 138
"d:\program\kisan-netra\server\src\controllers\inventory-controller.js", "JavaScript", 0, 148, 0, 0, 0, 0, 0, 6, 15, 169
"d:\program\kisan-netra\server\src\controllers\product-controller.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 4, 7, 65
"d:\program\kisan-netra\server\src\middleware\auth-middleware.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 2, 8, 47
"d:\program\kisan-netra\server\src\middleware\error-handler.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 2, 4, 25
"d:\program\kisan-netra\server\src\middleware\security-middleware.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 4, 4, 35
"d:\program\kisan-netra\server\src\models\Dealer.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"d:\program\kisan-netra\server\src\models\DealerStock.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 5, 36
"d:\program\kisan-netra\server\src\models\FarmerInventory.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"d:\program\kisan-netra\server\src\models\Product.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"d:\program\kisan-netra\server\src\models\User.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 3, 6, 66
"d:\program\kisan-netra\server\src\routes\admin-routes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"d:\program\kisan-netra\server\src\routes\auth-routes.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\program\kisan-netra\server\src\routes\dealer-routes.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 2, 11, 38
"d:\program\kisan-netra\server\src\routes\inventory-routes.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"d:\program\kisan-netra\server\src\routes\product-routes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\program\kisan-netra\server\src\utils\emailService.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\program\kisan-netra\server\src\utils\generateToken.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"d:\program\kisan-netra\server\src\utils\otp.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 6, 21
"d:\program\kisan-netra\server\tests\auth.test.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 3, 22, 110
"d:\program\kisan-netra\server\tests\geo.test.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 1, 24, 137
"Total", "-", 10152, 1437, 10, 193, 2376, 27, 13, 144, 526, 14878
